"Year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,0,0,0,0,0,0,0.000268976840465796,0.000403465260698693,0.00333531282177587,0.0026359730365648,0.00112970272995634,0.0100597338334208,0.018747685780466,0,0,0.0411534565912667,0.0251493345835519,0.0182904251516741,0,0.0914521257583705,0,0,0,0,0.0160041220077148,0
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,0,0,0,0,0,0,0,0.000560221380398975,0.00591604152171325,0.00395526669031683,0.0611575006935547,0.0455828275949629,0.0703415002675953,0.036658189771107,0,0.412836472239011,0.0690939702492069,0.142026494401147,0,0.070821319505437,0,0.0690939702492069,0,0.0690939702492069,0,0
1994,0,0,0,0,0,0,0,0,0.0156460958211484,0.00743442997981135,0.00991257330641514,0.0150941457165867,0.0461610516019195,0.0379493857605825,0.0568508607698604,0.0881430524121573,0.0337703349689006,0.0464201302224281,0.109522670748039,0.0650625266111975,0.0625843832845937,0,0.0156460958211484,0.0156460958211484,0,0
1995,0,0,0,0,0,0,0,0,0,0,0.000632174761844027,0.00094826214276604,0.00252869904737611,0.00959218970340623,0.00821241089665162,0.0329630377976867,0.0398433719749441,0.0603707092460483,0.0568433618736016,0.0984723860922139,0.0585339078330864,0.0332697638474714,0.0462349852647346,0.0348577175379719,0.00220723907641009,0
