Species,Stock,Year,Country,CatchCategory,Subarea,Division,Caton
ARU,ARU,1982,Iceland,landings,27.5,27.5a,0.062
ARU,ARU,1984,Iceland,landings,27.5,27.5a,0.432
ARU,ARU,1985,Iceland,landings,27.5,27.5a,0.232
ARU,ARU,1986,Iceland,landings,27.5,27.5a,52.843
ARU,ARU,1987,Iceland,landings,27.5,27.5a,42.4675
ARU,ARU,1988,Iceland,landings,27.5,27.5a,240.65973
ARU,ARU,1989,Iceland,landings,27.5,27.5a,8.489405000000001
ARU,ARU,1990,Iceland,landings,27.5,27.5a,112.925275
ARU,ARU,1991,Iceland,landings,27.5,27.5a,246.268
ARU,ARU,1992,Iceland,landings,27.5,27.5a,656.952
ARU,ARU,1993,Iceland,landings,27.5,27.5a,1254.0140000000001
ARU,ARU,1994,Iceland,landings,27.5,27.5a,755.667
ARU,ARU,1995,Iceland,landings,27.5,27.5a,586.223
ARU,ARU,1996,Iceland,landings,27.5,27.5a,880.5250000000001
ARU,ARU,1997,Iceland,landings,27.5,27.5a,3935.184
ARU,ARU,1998,Iceland,landings,27.5,27.5a,15241.64
ARU,ARU,1999,Iceland,landings,27.5,27.5a,6681.399
ARU,ARU,2000,Iceland,landings,27.5,27.5a,5656.779
ARU,ARU,2001,Iceland,landings,27.5,27.5a,3042.768
ARU,ARU,2002,Iceland,landings,27.5,27.5a,4960.139
ARU,ARU,2003,Iceland,landings,27.5,27.5a,2680.2010000000005
ARU,ARU,2004,Iceland,landings,27.5,27.5a,3645.051
ARU,ARU,2005,Iceland,landings,27.5,27.5a,4481.917
ARU,ARU,2006,Iceland,landings,27.5,27.5a,4768.8
ARU,ARU,2007,Iceland,landings,27.5,27.5a,4227.2970000000005
ARU,ARU,2008,Iceland,landings,27.5,27.5a,8777.999
ARU,ARU,2009,Iceland,landings,27.5,27.5a,10828.394
ARU,ARU,2010,Greenland,landings,27.5,27.5a,0.07200000000000001
ARU,ARU,2010,Iceland,landings,27.5,27.5a,16428.124
ARU,ARU,2011,Germany,landings,27.14,27.14,0.32
ARU,ARU,2011,Iceland,landings,27.5,27.5a,10515.642000000002
ARU,ARU,2012,Iceland,landings,27.5,27.5a,9289.308
ARU,ARU,2013,Iceland,landings,27.5,27.5a,7155.363
ARU,ARU,2014,Greenland,landings,27.14,27.14,4
ARU,ARU,2014,Iceland,landings,27.5,27.5a,6344.174
ARU,ARU,2015,Greenland,landings,27.14,27.14,12
ARU,ARU,2015,Iceland,landings,27.5,27.5a,6057.847
ARU,ARU,2016,Germany,landings,27.14,27.14,0.3599999999999999
ARU,ARU,2016,Greenland,landings,27.14,27.14,16
ARU,ARU,2016,Iceland,landings,27.5,27.5a,5645.908
ARU,ARU,2017,Germany,landings,27.14,27.14,0.096
ARU,ARU,2017,Greenland,landings,27.14,27.14,666
ARU,ARU,2017,Iceland,landings,27.5,27.5a,4344.162
ARU,ARU,2018,Germany,landings,27.14,27.14,0.1419999999999999
ARU,ARU,2018,Greenland,landings,27.14,27.14,425
ARU,ARU,2018,Iceland,landings,27.5,27.5a,4035.198
