PERSON,SOURCE,COUNTRY,DIVISION,HAUL_ID,DAY,MONTH,YEAR,LAT,LON,DEPTH_M
Lise H. Ofstad,commercial,Faroe Islands,27.2.a,20134178,22,8,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19940583,8,7,1994,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19940751,9,11,1994,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19950083,25,1,1995,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19970454,10,6,1997,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19970456,7,7,1997,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19970525,21,7,1997,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19980347,9,5,1998,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19980348,13,5,1998,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19980514,3,6,1998,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19980515,23,6,1998,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19980516,15,7,1998,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19990359,22,4,1999,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19990366,8,6,1999,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19990537,8,7,1999,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19990538,20,7,1999,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,19990620,12,8,1999,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20000538,29,5,2000,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20000541,23,8,2000,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010511,29,5,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010512,18,6,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010541,2,7,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010584,20,7,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010640,29,8,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010694,14,9,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010695,20,9,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20010820,12,10,2001,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020337,18,4,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020630,10,7,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020631,16,7,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020632,14,8,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020698,6,9,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020699,14,9,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20020700,24,9,2002,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20030668,11,7,2003,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20030792,13,8,2003,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20030899,17,9,2003,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20040535,14,7,2004,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20050319,9,6,2005,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20050320,21,6,2005,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20050349,13,7,2005,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20060299,29,6,2006,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20060322,18,7,2006,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20060337,10,8,2006,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20060363,7,9,2006,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20060364,14,9,2006,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20070199,25,5,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20070220,31,5,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20074057,21,6,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20074075,18,7,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20074081,24,7,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20074106,14,8,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20074118,24,8,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20074131,4,9,2007,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20084302,23,4,2008,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20084356,12,6,2008,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20084374,15,8,2008,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094131,8,4,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094148,23,4,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094163,12,5,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094196,2,6,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094226,9,7,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094250,22,7,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094264,4,8,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20094324,24,9,2009,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104128,3,5,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104135,11,5,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104151,28,5,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104185,23,6,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104248,12,8,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104263,26,8,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20104280,10,9,2010,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20110037,16,4,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20110038,25,4,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114548,20,4,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114559,9,5,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114602,28,6,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114607,7,7,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114625,10,8,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114663,19,9,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20114722,17,11,2011,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20124120,17,4,2012,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20124122,20,4,2012,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20124141,15,5,2012,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20124152,12,6,2012,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20124169,4,7,2012,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20124187,9,8,2012,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134094,17,4,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134108,7,5,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134117,24,5,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134129,7,6,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134145,26,6,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134150,9,7,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134157,19,7,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134166,12,8,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20134188,3,9,2013,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20144119,7,5,2014,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20144138,21,5,2014,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20144173,3,7,2014,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20144212,10,9,2014,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20154090,21,4,2015,NA,NA,NA
Lise H. Ofstad,commercial,Faroe Islands,27.5.b.1,20154139,24,6,2015,NA,NA,NA
