person,source,country,division,haul_id,day,month,year,lat,lon,depth
Pamela J. Woods,IFGS,Iceland,27.5.a,44154,11,3,1990,63.775000000000006,-24.42,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44153,11,3,1990,63.72516666666665,-24.894583333333326,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44151,11,3,1990,63.35766666666665,-24.69016666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44150,11,3,1990,63.161500000000004,-24.92191666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44149,11,3,1990,63.028000000000006,-24.395583333333327,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44271,12,3,1990,63.331166666666654,-23.34566666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44270,12,3,1990,63.36483333333333,-23.13466666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44383,13,3,1990,63.11458333333333,-21.06933333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44382,13,3,1990,63.12558333333333,-20.81558333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44452,15,3,1990,63.80033333333333,-12.18808333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44451,15,3,1990,63.735749999999996,-11.59608333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44449,15,3,1990,63.163416666666656,-12.268749999999999,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44441,16,3,1990,64.27258333333333,-11.073916666666658,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44439,16,3,1990,64.2835,-11.22533333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44457,14,3,1990,64.15416666666667,-11.454749999999999,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44456,14,3,1990,64.03516666666667,-11.42691666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44455,14,3,1990,63.93875,-11.303749999999999,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44454,14,3,1990,63.953666666666656,-11.57633333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44503,9,3,1990,63.9485,-14.00866666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44500,9,3,1990,64.01675,-13.297749999999999,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44499,9,3,1990,64.05966666666666,-13.12075,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44498,9,3,1990,64.08441666666666,-13.21833333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44177,9,3,1990,64.18575,-23.93991666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44156,11,3,1990,63.93558333333333,-24.21316666666666,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44195,7,3,1990,64.87925,-27.224583333333328,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44193,7,3,1990,64.39533333333333,-26.392333333333326,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44192,8,3,1990,64.294,-26.927500000000002,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44191,8,3,1990,64.03516666666667,-26.71883333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44190,8,3,1990,63.89058333333333,-26.407,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44356,16,3,1990,63.54491666666666,-16.946,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44510,8,3,1990,63.38433333333333,-16.18083333333333,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44509,8,3,1990,63.469249999999995,-15.717166666666659,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44505,9,3,1990,63.70383333333333,-14.68675,NA
Pamela J. Woods,IFGS,Iceland,27.5.a,44504,9,3,1990,63.77858333333333,-14.169916666666659,NA
