source,country,division,year,quarter,length_cm,n_1000s
IFGS,Iceland,27.5.a,1992,1,32,0.001
IFGS,Iceland,27.5.a,1992,1,36,0.012
IFGS,Iceland,27.5.a,1992,1,46,0.001
IFGS,Iceland,27.5.a,1992,1,15,0.001
IFGS,Iceland,27.5.a,1992,1,12,0.001
IFGS,Iceland,27.5.a,1992,1,18,0.001
IFGS,Iceland,27.5.a,1992,1,27,0.006
IFGS,Iceland,27.5.a,1992,1,31,0.012
IFGS,Iceland,27.5.a,1992,1,36,0.005
IFGS,Iceland,27.5.a,1992,1,45,0.001
IFGS,Iceland,27.5.a,1992,1,18,0.021146853146853103
IFGS,Iceland,27.5.a,1992,1,22,0.002349650349650349
IFGS,Iceland,27.5.a,1992,1,28,0.004699300699300699
IFGS,Iceland,27.5.a,1992,1,32,0.007048951048951048
IFGS,Iceland,27.5.a,1992,1,40,0.001174825174825174
IFGS,Iceland,27.5.a,1992,1,16,0.016919831223628702
IFGS,Iceland,27.5.a,1992,1,19,0.064295358649789
IFGS,Iceland,27.5.a,1992,1,20,0.038915611814346
IFGS,Iceland,27.5.a,1992,1,21,0.025379746835443
IFGS,Iceland,27.5.a,1992,1,23,0.011843881856540102
IFGS,Iceland,27.5.a,1992,1,24,0.006767932489451476
IFGS,Iceland,27.5.a,1992,1,25,0.0050759493670886075
IFGS,Iceland,27.5.a,1992,1,26,0.003383966244725738
IFGS,Iceland,27.5.a,1992,1,34,0.002
IFGS,Iceland,27.5.a,1992,1,39,0.003
IFGS,Iceland,27.5.a,1992,1,38,0.003
IFGS,Iceland,27.5.a,1992,1,43,0.003
IFGS,Iceland,27.5.a,1992,1,48,0.001
IFGS,Iceland,27.5.a,1992,1,30,0.001
IFGS,Iceland,27.5.a,1992,1,36,0.003
IFGS,Iceland,27.5.a,1992,1,21,0.001
IFGS,Iceland,27.5.a,1992,1,27,0.002
IFGS,Iceland,27.5.a,1992,1,34,0.014
IFGS,Iceland,27.5.a,1992,1,42,0.004
IFGS,Iceland,27.5.a,1992,1,52,0.002
IFGS,Iceland,27.5.a,1992,1,26,0.002
IFGS,Iceland,27.5.a,1992,1,30,0.002
IFGS,Iceland,27.5.a,1992,1,34,0.002
IFGS,Iceland,27.5.a,1992,1,43,0.006
IFGS,Iceland,27.5.a,1992,1,47,0.004
IFGS,Iceland,27.5.a,1992,1,49,0.002
IFGS,Iceland,27.5.a,1992,1,32,0.007410256410256411
IFGS,Iceland,27.5.a,1992,1,38,0.007410256410256411
IFGS,Iceland,27.5.a,1992,1,41,0.014820512820512801
IFGS,Iceland,27.5.a,1992,1,42,0.007410256410256411
IFGS,Iceland,27.5.a,1992,1,43,0.007410256410256411
IFGS,Iceland,27.5.a,1992,1,47,0.022230769230769203
IFGS,Iceland,27.5.a,1992,1,18,0.003
IFGS,Iceland,27.5.a,1992,1,26,0.004
IFGS,Iceland,27.5.a,1992,1,26,0.0267557251908397
IFGS,Iceland,27.5.a,1992,1,34,0.0267557251908397
IFGS,Iceland,27.5.a,1992,1,13,0.040487804878048796
IFGS,Iceland,27.5.a,1992,1,18,0.09109756097560981
IFGS,Iceland,27.5.a,1992,1,13,0.012879999999999999
IFGS,Iceland,27.5.a,1992,1,21,0.0032199999999999998
IFGS,Iceland,27.5.a,1992,1,12,0.006625
IFGS,Iceland,27.5.a,1992,1,17,0.0795
IFGS,Iceland,27.5.a,1992,1,21,0.01325
IFGS,Iceland,27.5.a,1992,1,24,0.006625
IFGS,Iceland,27.5.a,1992,1,15,0.001130718954248366
IFGS,Iceland,27.5.a,1992,1,16,0.001130718954248366
IFGS,Iceland,27.5.a,1992,1,20,0.002261437908496732
IFGS,Iceland,27.5.a,1992,1,21,0.001130718954248366
IFGS,Iceland,27.5.a,1992,1,22,0.001130718954248366
IFGS,Iceland,27.5.a,1992,1,23,0.001130718954248366
IFGS,Iceland,27.5.a,1992,1,32,0.001130718954248366
IFGS,Iceland,27.5.a,1992,1,37,0.018091503267973902
IFGS,Iceland,27.5.a,1992,1,41,0.0033921568627450984
IFGS,Iceland,27.5.a,1992,1,45,0.001130718954248366
