source,country,division,year,quarter,length_cm,n_1000s
IFGS,Iceland,27.5.a,1992,1,29,0.001
IFGS,Iceland,27.5.a,1992,1,42,0.001
IFGS,Iceland,27.5.a,1992,1,46,0.002
IFGS,Iceland,27.5.a,1992,1,37,0.001
IFGS,Iceland,27.5.a,1992,1,35,0.001
IFGS,Iceland,27.5.a,1992,1,40,0.001
IFGS,Iceland,27.5.a,1992,1,38,0.001
IFGS,Iceland,27.5.a,1992,1,46,0.002
IFGS,Iceland,27.5.a,1992,1,50,0.003
IFGS,Iceland,27.5.a,1992,1,30,0.001666666666666666
IFGS,Iceland,27.5.a,1992,1,36,0.005
IFGS,Iceland,27.5.a,1992,1,45,0.0316666666666667
IFGS,Iceland,27.5.a,1992,1,48,0.015000000000000001
IFGS,Iceland,27.5.a,1992,1,49,0.013333333333333301
IFGS,Iceland,27.5.a,1992,1,50,0.005
IFGS,Iceland,27.5.a,1992,1,52,0.003333333333333333
IFGS,Iceland,27.5.a,1992,1,55,0.001666666666666666
IFGS,Iceland,27.5.a,1992,1,39,0.001
IFGS,Iceland,27.5.a,1992,1,28,0.001
IFGS,Iceland,27.5.a,1992,1,23,0.001
IFGS,Iceland,27.5.a,1992,1,12,0.003314285714285714
IFGS,Iceland,27.5.a,1992,1,17,0.009942857142857142
IFGS,Iceland,27.5.a,1992,1,46,0.003314285714285714
IFGS,Iceland,27.5.a,1992,1,36,0.004
IFGS,Iceland,27.5.a,1992,1,37,0.007
IFGS,Iceland,27.5.a,1992,1,38,0.01
IFGS,Iceland,27.5.a,1992,1,40,0.001
IFGS,Iceland,27.5.a,1992,1,41,0.001
IFGS,Iceland,27.5.a,1992,1,42,0.003
IFGS,Iceland,27.5.a,1992,1,43,0.001
IFGS,Iceland,27.5.a,1992,1,35,0.001
IFGS,Iceland,27.5.a,1992,1,40,0.006
IFGS,Iceland,27.5.a,1992,1,16,0.007
IFGS,Iceland,27.5.a,1992,1,20,0.002
IFGS,Iceland,27.5.a,1992,1,13,0.002
IFGS,Iceland,27.5.a,1992,1,17,0.002
IFGS,Iceland,27.5.a,1992,1,26,0.007
IFGS,Iceland,27.5.a,1992,1,29,0.002
IFGS,Iceland,27.5.a,1992,1,30,0.002
IFGS,Iceland,27.5.a,1992,1,31,0.001
IFGS,Iceland,27.5.a,1992,1,32,0.004
IFGS,Iceland,27.5.a,1992,1,33,0.016
IFGS,Iceland,27.5.a,1992,1,34,0.024
IFGS,Iceland,27.5.a,1992,1,35,0.022000000000000002
IFGS,Iceland,27.5.a,1992,1,44,0.002
IFGS,Iceland,27.5.a,1992,1,13,0.0376296296296296
IFGS,Iceland,27.5.a,1992,1,17,0.0141111111111111
IFGS,Iceland,27.5.a,1992,1,22,0.016755319148936198
IFGS,Iceland,27.5.a,1992,1,27,0.05026595744680851
IFGS,Iceland,27.5.a,1992,1,35,0.16755319148936168
IFGS,Iceland,27.5.a,1992,1,12,0.005351145038167938
IFGS,Iceland,27.5.a,1992,1,17,0.0214045801526718
IFGS,Iceland,27.5.a,1992,1,21,0.0160534351145038
IFGS,Iceland,27.5.a,1992,1,48,0.001
IFGS,Iceland,27.5.a,1992,1,33,0.002
IFGS,Iceland,27.5.a,1992,1,37,0.007
IFGS,Iceland,27.5.a,1992,1,42,0.001
IFGS,Iceland,27.5.a,1992,1,47,0.001
IFGS,Iceland,27.5.a,1992,1,41,0.003
IFGS,Iceland,27.5.a,1992,1,45,0.004
IFGS,Iceland,27.5.a,1991,1,30,0.005830508474576271
IFGS,Iceland,27.5.a,1991,1,38,0.008745762711864405
IFGS,Iceland,27.5.a,1991,1,42,0.0116610169491525
IFGS,Iceland,27.5.a,1991,1,46,0.008745762711864405
IFGS,Iceland,27.5.a,1991,1,15,0.001
IFGS,Iceland,27.5.a,1991,1,29,0.002
IFGS,Iceland,27.5.a,1991,1,25,0.001
IFGS,Iceland,27.5.a,1991,1,35,0.001
IFGS,Iceland,27.5.a,1991,1,25,0.002
IFGS,Iceland,27.5.a,1991,1,26,0.001
IFGS,Iceland,27.5.a,1991,1,30,0.002
IFGS,Iceland,27.5.a,1991,1,33,0.001
IFGS,Iceland,27.5.a,1991,1,34,0.001
IFGS,Iceland,27.5.a,1991,1,35,0.001
IFGS,Iceland,27.5.a,1991,1,16,0.0116701030927835
IFGS,Iceland,27.5.a,1991,1,21,0.0350103092783505
IFGS,Iceland,27.5.a,1991,1,25,0.1517113402061855
IFGS,Iceland,27.5.a,1991,1,29,0.0525154639175258
IFGS,Iceland,27.5.a,1991,1,33,0.005835051546391753
IFGS,Iceland,27.5.a,1991,1,19,0.006
IFGS,Iceland,27.5.a,1991,1,23,0.009000000000000001
IFGS,Iceland,27.5.a,1991,1,27,0.006
IFGS,Iceland,27.5.a,1991,1,32,0.018000000000000002
IFGS,Iceland,27.5.a,1991,1,36,0.003
IFGS,Iceland,27.5.a,1991,1,45,0.003
IFGS,Iceland,27.5.a,1991,1,16,0.004
IFGS,Iceland,27.5.a,1991,1,24,0.001
IFGS,Iceland,27.5.a,1991,1,20,0.007
IFGS,Iceland,27.5.a,1991,1,24,0.007
IFGS,Iceland,27.5.a,1991,1,35,0.001
IFGS,Iceland,27.5.a,1991,1,38,0.001
IFGS,Iceland,27.5.a,1991,1,39,0.001
IFGS,Iceland,27.5.a,1991,1,40,0.001
IFGS,Iceland,27.5.a,1991,1,14,0.002
IFGS,Iceland,27.5.a,1991,1,17,0.002
IFGS,Iceland,27.5.a,1991,1,18,0.002
IFGS,Iceland,27.5.a,1991,1,19,0.008
IFGS,Iceland,27.5.a,1991,1,28,0.002
IFGS,Iceland,27.5.a,1991,1,26,0.001
IFGS,Iceland,27.5.a,1991,1,13,0.001
IFGS,Iceland,27.5.a,1991,1,17,0.002
IFGS,Iceland,27.5.a,1991,1,29,0.001
IFGS,Iceland,27.5.a,1991,1,24,0.014
IFGS,Iceland,27.5.a,1991,1,28,0.006
IFGS,Iceland,27.5.a,1991,1,26,0.0118064516129032
IFGS,Iceland,27.5.a,1991,1,31,0.005903225806451612
IFGS,Iceland,27.5.a,1991,1,15,0.004
IFGS,Iceland,27.5.a,1991,1,23,0.011000000000000001
IFGS,Iceland,27.5.a,1991,1,27,0.01
IFGS,Iceland,27.5.a,1991,1,31,0.009000000000000001
IFGS,Iceland,27.5.a,1991,1,13,0.003
IFGS,Iceland,27.5.a,1991,1,17,0.004
IFGS,Iceland,27.5.a,1991,1,27,0.001
IFGS,Iceland,27.5.a,1991,1,15,0.002
IFGS,Iceland,27.5.a,1991,1,16,0.014
IFGS,Iceland,27.5.a,1991,1,17,0.007
IFGS,Iceland,27.5.a,1991,1,19,0.011000000000000001
IFGS,Iceland,27.5.a,1991,1,20,0.002
IFGS,Iceland,27.5.a,1991,1,21,0.004
IFGS,Iceland,27.5.a,1991,1,22,0.001
IFGS,Iceland,27.5.a,1991,1,23,0.022434782608695702
IFGS,Iceland,27.5.a,1991,1,28,0.0448695652173913
IFGS,Iceland,27.5.a,1991,1,32,0.056086956521739104
IFGS,Iceland,27.5.a,1991,1,28,0.001
IFGS,Iceland,27.5.a,1991,1,32,0.001
IFGS,Iceland,27.5.a,1991,1,35,0.001
IFGS,Iceland,27.5.a,1991,1,32,0.001
IFGS,Iceland,27.5.a,1991,1,37,0.004
IFGS,Iceland,27.5.a,1991,1,42,0.006
IFGS,Iceland,27.5.a,1991,1,46,0.003
IFGS,Iceland,27.5.a,1991,1,34,0.4858333333333333
IFGS,Iceland,27.5.a,1991,1,38,0.3886666666666666
IFGS,Iceland,27.5.a,1991,1,43,0.12955555555555548
IFGS,Iceland,27.5.a,1991,1,13,0.007729729729729729
IFGS,Iceland,27.5.a,1991,1,17,0.0115945945945946
IFGS,Iceland,27.5.a,1991,1,26,0.003864864864864864
IFGS,Iceland,27.5.a,1991,1,30,0.007729729729729729
IFGS,Iceland,27.5.a,1991,1,15,0.024
IFGS,Iceland,27.5.a,1991,1,16,0.024
IFGS,Iceland,27.5.a,1991,1,18,0.004
IFGS,Iceland,27.5.a,1991,1,19,0.036000000000000004
IFGS,Iceland,27.5.a,1991,1,20,0.028
IFGS,Iceland,27.5.a,1991,1,21,0.02
IFGS,Iceland,27.5.a,1991,1,28,0.016
IFGS,Iceland,27.5.a,1991,1,15,0.003
IFGS,Iceland,27.5.a,1991,1,17,0.001
IFGS,Iceland,27.5.a,1991,1,22,0.003
IFGS,Iceland,27.5.a,1991,1,26,0.001
IFGS,Iceland,27.5.a,1991,1,45,0.004
IFGS,Iceland,27.5.a,1991,1,49,0.005
IFGS,Iceland,27.5.a,1991,1,39,0.001
IFGS,Iceland,27.5.a,1991,1,50,0.002
IFGS,Iceland,27.5.a,1991,1,35,0.001
IFGS,Iceland,27.5.a,1991,1,53,0.002
IFGS,Iceland,27.5.a,1991,1,55,0.001
IFGS,Iceland,27.5.a,1991,1,42,0.001
IFGS,Iceland,27.5.a,1991,1,48,0.003
IFGS,Iceland,27.5.a,1991,1,52,0.001
IFGS,Iceland,27.5.a,1991,1,48,0.001
IFGS,Iceland,27.5.a,1991,1,51,0.004
IFGS,Iceland,27.5.a,1991,1,52,0.004
IFGS,Iceland,27.5.a,1991,1,53,0.001
IFGS,Iceland,27.5.a,1991,1,31,0.001
IFGS,Iceland,27.5.a,1991,1,33,0.001
IFGS,Iceland,27.5.a,1991,1,35,0.002
IFGS,Iceland,27.5.a,1991,1,36,0.004
IFGS,Iceland,27.5.a,1991,1,43,0.02
IFGS,Iceland,27.5.a,1991,1,47,0.007
IFGS,Iceland,27.5.a,1991,1,51,0.003
IFGS,Iceland,27.5.a,1991,1,33,0.1244090909090909
IFGS,Iceland,27.5.a,1991,1,38,0.3981090909090909
IFGS,Iceland,27.5.a,1991,1,47,0.0497636363636364
IFGS,Iceland,27.5.a,1991,1,54,0.024881818181818203
IFGS,Iceland,27.5.a,1991,1,53,0.002
IFGS,Iceland,27.5.a,1991,1,33,0.002
IFGS,Iceland,27.5.a,1991,1,33,0.002
IFGS,Iceland,27.5.a,1991,1,34,0.002
IFGS,Iceland,27.5.a,1991,1,38,0.002
IFGS,Iceland,27.5.a,1991,1,42,0.007
IFGS,Iceland,27.5.a,1991,1,46,0.007
IFGS,Iceland,27.5.a,1991,1,50,0.003
IFGS,Iceland,27.5.a,1991,1,48,0.001
IFGS,Iceland,27.5.a,1991,1,38,0.001
IFGS,Iceland,27.5.a,1991,1,39,0.002
IFGS,Iceland,27.5.a,1991,1,43,0.001
IFGS,Iceland,27.5.a,1991,1,45,0.002
IFGS,Iceland,27.5.a,1991,1,47,0.002
IFGS,Iceland,27.5.a,1991,1,48,0.002
IFGS,Iceland,27.5.a,1991,1,49,0.005
IFGS,Iceland,27.5.a,1991,1,39,0.004
IFGS,Iceland,27.5.a,1991,1,51,0.001
IFGS,Iceland,27.5.a,1991,1,37,0.005
IFGS,Iceland,27.5.a,1991,1,41,0.003
IFGS,Iceland,27.5.a,1991,1,45,0.001
IFGS,Iceland,27.5.a,1991,1,30,0.001
IFGS,Iceland,27.5.a,1991,1,40,0.007
IFGS,Iceland,27.5.a,1991,1,44,0.01
IFGS,Iceland,27.5.a,1991,1,48,0.012
IFGS,Iceland,27.5.a,1991,1,46,0.001
IFGS,Iceland,27.5.a,1991,1,48,0.001
IFGS,Iceland,27.5.a,1992,1,18,0.002
IFGS,Iceland,27.5.a,1992,1,22,0.003
IFGS,Iceland,27.5.a,1992,1,26,0.001
IFGS,Iceland,27.5.a,1992,1,40,0.002
IFGS,Iceland,27.5.a,1992,1,44,0.003
IFGS,Iceland,27.5.a,1992,1,48,0.001
IFGS,Iceland,27.5.a,1992,1,52,0.001
IFGS,Iceland,27.5.a,1992,1,49,0.003
IFGS,Iceland,27.5.a,1992,1,36,0.001
IFGS,Iceland,27.5.a,1992,1,40,0.001
IFGS,Iceland,27.5.a,1992,1,43,0.002
IFGS,Iceland,27.5.a,1992,1,44,0.001
IFGS,Iceland,27.5.a,1992,1,45,0.003
IFGS,Iceland,27.5.a,1992,1,46,0.002
IFGS,Iceland,27.5.a,1992,1,47,0.001
IFGS,Iceland,27.5.a,1992,1,48,0.001
IFGS,Iceland,27.5.a,1992,1,38,0.001
IFGS,Iceland,27.5.a,1992,1,40,0.001
IFGS,Iceland,27.5.a,1992,1,45,0.006
IFGS,Iceland,27.5.a,1992,1,49,0.003
IFGS,Iceland,27.5.a,1992,1,43,0.001
IFGS,Iceland,27.5.a,1992,1,25,0.001
IFGS,Iceland,27.5.a,1992,1,42,0.001
IFGS,Iceland,27.5.a,1992,1,46,0.003
IFGS,Iceland,27.5.a,1992,1,50,0.005
IFGS,Iceland,27.5.a,1992,1,37,0.001
IFGS,Iceland,27.5.a,1992,1,50,0.002
IFGS,Iceland,27.5.a,1990,1,39,0.001
IFGS,Iceland,27.5.a,1990,1,40,0.001
IFGS,Iceland,27.5.a,1990,1,42,0.001
IFGS,Iceland,27.5.a,1990,1,47,0.001
IFGS,Iceland,27.5.a,1990,1,23,0.001
IFGS,Iceland,27.5.a,1990,1,24,0.001
IFGS,Iceland,27.5.a,1990,1,29,0.001
IFGS,Iceland,27.5.a,1990,1,32,0.008
IFGS,Iceland,27.5.a,1990,1,40,0.017
IFGS,Iceland,27.5.a,1990,1,44,0.006
IFGS,Iceland,27.5.a,1990,1,48,0.002
IFGS,Iceland,27.5.a,1990,1,49,0.001
IFGS,Iceland,27.5.a,1990,1,47,0.001
IFGS,Iceland,27.5.a,1990,1,48,0.001
IFGS,Iceland,27.5.a,1990,1,41,0.001
IFGS,Iceland,27.5.a,1990,1,46,0.004
IFGS,Iceland,27.5.a,1990,1,51,0.006
IFGS,Iceland,27.5.a,1990,1,54,0.001
IFGS,Iceland,27.5.a,1990,1,46,0.001
IFGS,Iceland,27.5.a,1990,1,31,0.001
IFGS,Iceland,27.5.a,1990,1,24,0.003
IFGS,Iceland,27.5.a,1990,1,28,0.001
IFGS,Iceland,27.5.a,1990,1,34,0.001
IFGS,Iceland,27.5.a,1990,1,21,0.003
IFGS,Iceland,27.5.a,1990,1,25,0.003
IFGS,Iceland,27.5.a,1990,1,35,0.001
IFGS,Iceland,27.5.a,1990,1,14,0.012
IFGS,Iceland,27.5.a,1990,1,18,0.001
IFGS,Iceland,27.5.a,1990,1,16,0.005
IFGS,Iceland,27.5.a,1990,1,21,0.001
IFGS,Iceland,27.5.a,1990,1,36,0.001
IFGS,Iceland,27.5.a,1990,1,44,0.001
IFGS,Iceland,27.5.a,1990,1,17,0.001
IFGS,Iceland,27.5.a,1990,1,19,0.001
IFGS,Iceland,27.5.a,1990,1,21,0.003
IFGS,Iceland,27.5.a,1990,1,22,0.001
IFGS,Iceland,27.5.a,1990,1,23,0.003
IFGS,Iceland,27.5.a,1990,1,24,0.006
IFGS,Iceland,27.5.a,1990,1,31,0.005
IFGS,Iceland,27.5.a,1990,1,18,0.001
IFGS,Iceland,27.5.a,1990,1,30,0.003
IFGS,Iceland,27.5.a,1990,1,34,0.014
IFGS,Iceland,27.5.a,1990,1,38,0.004
IFGS,Iceland,27.5.a,1990,1,47,0.002
IFGS,Iceland,27.5.a,1990,1,52,0.001
IFGS,Iceland,27.5.a,1990,1,28,0.002073394495412844
IFGS,Iceland,27.5.a,1990,1,33,0.041467889908256894
IFGS,Iceland,27.5.a,1990,1,37,0.008293577981651376
IFGS,Iceland,27.5.a,1990,1,45,0.0145137614678899
IFGS,Iceland,27.5.a,1990,1,49,0.008293577981651376
IFGS,Iceland,27.5.a,1990,1,53,0.002073394495412844
IFGS,Iceland,27.5.a,1990,1,30,0.012
IFGS,Iceland,27.5.a,1990,1,34,0.039
IFGS,Iceland,27.5.a,1990,1,13,0.011432098765432101
IFGS,Iceland,27.5.a,1990,1,17,0.0285802469135802
IFGS,Iceland,27.5.a,1990,1,18,0.0228641975308642
IFGS,Iceland,27.5.a,1990,1,19,0.10288888888888881
IFGS,Iceland,27.5.a,1990,1,21,0.0571604938271605
IFGS,Iceland,27.5.a,1990,1,22,0.0285802469135802
IFGS,Iceland,27.5.a,1990,1,23,0.0342962962962963
IFGS,Iceland,27.5.a,1990,1,24,0.0228641975308642
IFGS,Iceland,27.5.a,1990,1,18,0.002
IFGS,Iceland,27.5.a,1990,1,27,0.015000000000000001
IFGS,Iceland,27.5.a,1990,1,31,0.007
IFGS,Iceland,27.5.a,1990,1,35,0.001
IFGS,Iceland,27.5.a,1990,1,40,0.002
IFGS,Iceland,27.5.a,1990,1,15,0.0754090909090909
IFGS,Iceland,27.5.a,1990,1,38,0.0107727272727273
IFGS,Iceland,27.5.a,1990,1,45,0.0323181818181818
IFGS,Iceland,27.5.a,1990,1,32,0.001
IFGS,Iceland,27.5.a,1990,1,18,0.001
IFGS,Iceland,27.5.a,1990,1,26,0.003
IFGS,Iceland,27.5.a,1990,1,30,0.005
IFGS,Iceland,27.5.a,1990,1,34,0.005
IFGS,Iceland,27.5.a,1990,1,38,0.001
IFGS,Iceland,27.5.a,1990,1,24,0.009248175182481751
IFGS,Iceland,27.5.a,1990,1,33,0.1757153284671532
IFGS,Iceland,27.5.a,1990,1,36,0.027744525547445303
IFGS,Iceland,27.5.a,1990,1,37,0.018496350364963502
IFGS,Iceland,27.5.a,1990,1,38,0.018496350364963502
IFGS,Iceland,27.5.a,1990,1,40,0.009248175182481751
IFGS,Iceland,27.5.a,1990,1,41,0.009248175182481751
IFGS,Iceland,27.5.a,1990,1,21,0.001
IFGS,Iceland,27.5.a,1990,1,22,0.001
IFGS,Iceland,27.5.a,1990,1,23,0.002
IFGS,Iceland,27.5.a,1990,1,29,0.002
IFGS,Iceland,27.5.a,1990,1,34,0.002
IFGS,Iceland,27.5.a,1990,1,40,0.003
IFGS,Iceland,27.5.a,1990,1,45,0.001
IFGS,Iceland,27.5.a,1990,1,45,0.001
IFGS,Iceland,27.5.a,1990,1,52,0.002
IFGS,Iceland,27.5.a,1990,1,46,0.001
IFGS,Iceland,27.5.a,1990,1,53,0.007
IFGS,Iceland,27.5.a,1990,1,33,0.002994252873563218
IFGS,Iceland,27.5.a,1990,1,41,0.0299425287356322
IFGS,Iceland,27.5.a,1990,1,45,0.0209597701149425
IFGS,Iceland,27.5.a,1990,1,49,0.002994252873563218
IFGS,Iceland,27.5.a,1990,1,30,0.001
IFGS,Iceland,27.5.a,1990,1,35,0.002
IFGS,Iceland,27.5.a,1990,1,45,0.001
IFGS,Iceland,27.5.a,1990,1,48,0.001
IFGS,Iceland,27.5.a,1990,1,49,0.001
IFGS,Iceland,27.5.a,1990,1,50,0.001
IFGS,Iceland,27.5.a,1990,1,53,0.001
IFGS,Iceland,27.5.a,1990,1,40,0.001
IFGS,Iceland,27.5.a,1990,1,42,0.001
IFGS,Iceland,27.5.a,1990,1,47,0.003
IFGS,Iceland,27.5.a,1990,1,34,0.001
IFGS,Iceland,27.5.a,1990,1,42,0.001
IFGS,Iceland,27.5.a,1990,1,46,0.003
IFGS,Iceland,27.5.a,1990,1,50,0.004
IFGS,Iceland,27.5.a,1990,1,26,0.001
IFGS,Iceland,27.5.a,1990,1,34,0.002
IFGS,Iceland,27.5.a,1990,1,38,0.004
IFGS,Iceland,27.5.a,1990,1,42,0.003
IFGS,Iceland,27.5.a,1990,1,47,0.002
IFGS,Iceland,27.5.a,1990,1,51,0.005
IFGS,Iceland,27.5.a,1990,1,37,0.002
IFGS,Iceland,27.5.a,1990,1,41,0.005
IFGS,Iceland,27.5.a,1990,1,45,0.01
IFGS,Iceland,27.5.a,1990,1,49,0.008
IFGS,Iceland,27.5.a,1990,1,38,0.002
IFGS,Iceland,27.5.a,1990,1,48,0.011000000000000001
IFGS,Iceland,27.5.a,1990,1,52,0.001
IFGS,Iceland,27.5.a,1990,1,59,0.001
IFGS,Iceland,27.5.a,1990,1,39,0.001
IFGS,Iceland,27.5.a,1990,1,41,0.001
IFGS,Iceland,27.5.a,1990,1,42,0.002
IFGS,Iceland,27.5.a,1990,1,43,0.002
IFGS,Iceland,27.5.a,1990,1,48,0.005
IFGS,Iceland,27.5.a,1990,1,53,0.002
IFGS,Iceland,27.5.a,1990,1,42,0.001
IFGS,Iceland,27.5.a,1990,1,48,0.001
IFGS,Iceland,27.5.a,1990,1,50,0.001
IFGS,Iceland,27.5.a,1990,1,51,0.001
IFGS,Iceland,27.5.a,1990,1,47,0.014329411764705901
IFGS,Iceland,27.5.a,1990,1,51,0.0266117647058824
IFGS,Iceland,27.5.a,1990,1,43,0.001
IFGS,Iceland,27.5.a,1990,1,49,0.002
IFGS,Iceland,27.5.a,1990,1,30,0.002
IFGS,Iceland,27.5.a,1990,1,36,0.001
IFGS,Iceland,27.5.a,1990,1,33,0.012
IFGS,Iceland,27.5.a,1990,1,37,0.019
IFGS,Iceland,27.5.a,1990,1,22,0.001
IFGS,Iceland,27.5.a,1990,1,31,0.002
IFGS,Iceland,27.5.a,1990,1,35,0.002
IFGS,Iceland,27.5.a,1989,1,20,0.002
IFGS,Iceland,27.5.a,1989,1,24,0.004
IFGS,Iceland,27.5.a,1989,1,28,0.002
IFGS,Iceland,27.5.a,1989,1,49,0.001
IFGS,Iceland,27.5.a,1989,1,48,0.004
IFGS,Iceland,27.5.a,1989,1,52,0.005
IFGS,Iceland,27.5.a,1989,1,38,0.001
IFGS,Iceland,27.5.a,1989,1,29,0.001
IFGS,Iceland,27.5.a,1989,1,37,0.001
IFGS,Iceland,27.5.a,1989,1,46,0.02
IFGS,Iceland,27.5.a,1989,1,50,0.002
IFGS,Iceland,27.5.a,1989,1,56,0.001
IFGS,Iceland,27.5.a,1989,1,44,0.003
IFGS,Iceland,27.5.a,1989,1,49,0.003
IFGS,Iceland,27.5.a,1989,1,39,0.001
IFGS,Iceland,27.5.a,1989,1,45,0.001
IFGS,Iceland,27.5.a,1989,1,47,0.001
IFGS,Iceland,27.5.a,1989,1,48,0.001
IFGS,Iceland,27.5.a,1989,1,50,0.001
IFGS,Iceland,27.5.a,1989,1,48,0.001
IFGS,Iceland,27.5.a,1989,1,32,0.001
IFGS,Iceland,27.5.a,1989,1,24,0.0073006993006993004
IFGS,Iceland,27.5.a,1989,1,29,0.0438041958041958
IFGS,Iceland,27.5.a,1989,1,33,0.0073006993006993004
IFGS,Iceland,27.5.a,1989,1,37,0.024335664335664302
IFGS,Iceland,27.5.a,1989,1,41,0.009734265734265734
IFGS,Iceland,27.5.a,1989,1,28,0.005964601769911504
IFGS,Iceland,27.5.a,1989,1,32,0.0536814159292035
IFGS,Iceland,27.5.a,1989,1,36,0.0536814159292035
IFGS,Iceland,27.5.a,1989,1,41,0.023858407079646003
IFGS,Iceland,27.5.a,1989,1,45,0.011929203539823002
IFGS,Iceland,27.5.a,1989,1,22,0.008
IFGS,Iceland,27.5.a,1989,1,26,0.009000000000000001
IFGS,Iceland,27.5.a,1989,1,30,0.003
IFGS,Iceland,27.5.a,1989,1,17,0.026000000000000002
IFGS,Iceland,27.5.a,1989,1,21,0.011000000000000001
IFGS,Iceland,27.5.a,1989,1,19,0.015465116279069801
IFGS,Iceland,27.5.a,1989,1,22,0.011046511627907001
IFGS,Iceland,27.5.a,1989,1,23,0.006627906976744186
IFGS,Iceland,27.5.a,1989,1,25,0.002209302325581395
IFGS,Iceland,27.5.a,1989,1,14,0.00993548387096774
IFGS,Iceland,27.5.a,1989,1,15,0.0198709677419355
IFGS,Iceland,27.5.a,1989,1,16,0.08279569892473121
IFGS,Iceland,27.5.a,1989,1,21,0.0298064516129032
IFGS,Iceland,27.5.a,1989,1,25,0.0033118279569892472
IFGS,Iceland,27.5.a,1989,1,17,0.005
IFGS,Iceland,27.5.a,1989,1,26,0.001
IFGS,Iceland,27.5.a,1989,1,17,0.012
