"Year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1996,-1,-1,-1,366.5,448.111844194663,427.448660055109,443.974716842138,501.931332943828,549.369808916981,577.771109742459,628.627703579778,662.393334440552,675.335170256409,709.92440133283,725.075384732358,782.595382629161,888.45431307415,910.957424297522,1005.58347284805,1050.42502305337,1065.28976356435,1069.88935186006,1134.63496585974,1202.97606918632,1020.62955336493,-1
1997,-1,-1,-1,366.5,448.111844194663,427.448660055109,443.974716842138,501.931332943828,549.369808916981,577.771109742459,628.627703579778,662.393334440552,675.335170256409,709.92440133283,725.075384732358,782.595382629161,888.45431307415,910.957424297522,1005.58347284805,1050.42502305337,1065.28976356435,1069.88935186006,1134.63496585974,1202.97606918632,1020.62955336493,-1
1998,-1,-1,-1,268.90173062453,323.472859281196,370.155779961758,401.502245566032,458.822571929932,528.275029674866,567.602189324718,638.692660271626,683.605772504407,701.212077805857,746.903547092367,765.057262268376,830.814142721255,912.093707957673,959.521690876667,1006.85501397783,1110.92565931604,1116.93791848528,1089.78363221451,1200.02956335278,1278.87770965824,1022.49064509453,-1
1999,-1,-1,-1,-1,349.893333333333,390.291750380517,563.157142230542,661.078084303802,652.258197540831,792.846663914719,826.676179698096,898.892032193033,999.10348734186,933.6872984831,951.300508732812,1133.95171544419,1187.68009962066,1134.88665320577,1229.98737637302,1136.28028513822,1184.31184378061,-1,-1,-1,-1,-1
2000,-1,-1,-1,230.692857142857,233.177006456931,414.630073108767,533.054186663813,584.878060911952,601.433745483197,706.799262939692,674.532423066893,807.150182329623,1025.27198198256,885.200077404521,886.01088278156,1111.8970010067,1130.42492447144,1132.76388072737,1373.59238760598,1127.08195733005,1155.24455191613,-1,-1,-1,-1,-1
2001,-1,-1,-1,-1,360.162,360.162,478.844095238095,478.844095238095,498.624444444444,498.624444444444,884.385660377358,1084.45666666667,884.385660377358,884.075157938429,-1,884.385660377358,727.914867668042,759.093851545268,884.385660377358,884.385660377358,983.919864587213,983.919864587213,1130.23803078459,1084.45666666667,1084.45666666667,2053.79
2002,175.76,-1,-1,-1,-1,311.751046840616,414.247948057453,436.951893477228,496.991130389437,512.647918422956,605.25752239077,593.507854121412,766.638170418336,878.85482200647,766.638170418336,823.20126624866,650.692689655172,969.248449934411,1008.73088738809,1109.4518404908,1239.68644295302,-1,1239.68644295302,-1,1109.4518404908,-1
2003,157.36,-1,-1,251.875394804971,379.764550636466,266.073495608818,473.651942572343,358.932830990327,481.576886774363,621.558975325425,650.721309269582,696.248360051142,586.937209617595,864.489178082192,909.817589412493,864.489178082192,1009.76803428508,909.829935478847,1035.10161007793,1119.35120811299,1115.40273022926,1328.74862970425,1125.21208955224,1453.65358031371,1125.21208955224,-1
2004,-1,-1,-1,249.255144870791,398.278006139371,274.000532276732,496.21897729527,358.881565359668,497.376222810682,631.290711607288,658.008446941768,705.979367057177,600.898309633958,890.585098039216,968.719165169253,890.585098039216,1064.44065470212,968.736195211792,1080.07432769281,1125.80635361367,1132.81455892017,1262.0250117311,1121.16719298246,1183.0029098683,1121.16719298246,-1
2005,-1,-1,242.770909090909,321.95069989843,368.905168306926,452.890196405933,495.182930431387,541.802162337905,588.949999616088,601.887429620584,653.134131728763,695.817018099698,765.187999155556,814.072615672315,887.435060121121,916.36933329259,916.275168818514,1011.77052955126,907.939049328919,1133.06504072398,1016.43195783242,1062.64723664714,1157.95301234568,1407.964,-1,1118.66557142857
2006,-1,-1,-1,323.73956630718,471.364143868085,467.86947784499,536.452799907413,564.349780332022,607.197069631334,637.855069488842,710.807879364993,774.368053576125,769.998669123913,833.148416691817,963.21279546365,993.347613161726,1129.17187700212,1061.01038926649,1151.33773325928,1060.56960907483,1087.97715012005,1000.66108849184,879.933720136519,658.802385008518,-1,-1
2007,-1,175.76,176.281587640921,189.700079262735,360.540533300094,433.078821951906,491.294080160943,555.565552360033,594.949300755392,639.159705733735,624.218703917075,664.676543070917,722.878364433773,621.26811394011,851.38027481349,867.29633398682,704.096222031062,1087.80389870583,772.677225924922,1096.02549875364,1251.15127815658,1132.4282314878,1254.4674358994,1293.39289581029,-1,1097.92927591289
2008,-1,106.48,126.867362067498,172.604602268774,225.887070530066,295.055602932118,397.881997103071,441.045364374705,495.966500279824,567.922337495532,626.545914352299,652.872541210929,707.541687305071,787.753301014532,869.684684107916,882.937716281652,915.335134376804,1064.5778937994,1006.59695315217,803.268602795766,965.171542612476,940.630714391723,866.404661587687,964.385020649807,866.775557668866,-1
2009,-1,-1,-1,256.014482711601,259.481408432274,367.294656469145,460.821225805172,519.864375189386,532.257004568789,562.349796307223,619.709229368587,649.405293585649,709.318482470749,746.999955169479,804.484047309076,864.275653979793,931.841226594211,1024.99807433774,879.483349667296,1228.10012852326,1031.01678760023,1117.98187819123,1101.22634126669,1406.08,-1,-1
2010,-1,146.021333333333,158.395372824119,230.733008374055,311.945273561062,362.134933424919,485.037368825165,513.283798135321,585.170057566465,605.749172740743,656.667245988021,698.13115291683,740.193980278384,760.318628141019,800.034781149564,880.578638549543,857.148426438734,920.660455174624,934.794080488075,1053.8604759696,1077.64046568723,1084.3406884459,1003.3290522846,1228.69533089406,1088.14822297612,1101.88467532468
2011,-1,-1,175.76,235.237893748789,325.994174672767,387.780514207927,484.240702812509,512.661326901185,568.767561003419,619.012506541634,656.347846772565,682.141198143508,732.888608764144,786.132085134142,782.191356346753,845.74114983022,940.102045406116,986.923073593656,1034.37541248394,1097.98909981434,1281.59004733238,1186.30964911345,-1,1248.85881990262,859.303024911032,-1
2012,-1,-1,-1,235.89986784594,248.123701151645,370.645296721799,370.67895797507,585.059208022373,613.392682455938,594.671937320684,723.212236310655,658.872102521757,773.10349977437,725.929552411199,751.366970933459,797.674082758397,1027.90477951787,994.603944043258,957.273117248982,1119.66897280841,1407.11699960929,920.371848221532,1102.87329175096,1281.76427183029,919.960627136327,-1
2013,-1,126.727107692308,148.444502512378,157.980069662601,259.643439258791,276.440328955988,347.765000895594,392.687743182759,485.936248950892,521.228764662465,608.861509802272,628.052208191578,699.140288200299,767.762125077824,788.135087650258,838.203567314966,761.332536902725,1017.36008734847,1131.06268574482,967.621750922817,1158.92053069981,1392.66475919179,868.067661035012,1196.98739168297,866.57020274063,866.57020274063
2014,106.48,106.48,159.908112535613,200.229498985224,277.637721938447,296.576512882661,391.733952862434,438.572420777112,535.887184804428,588.742493618517,655.329713896665,646.64077177554,706.196025239784,797.798016273016,883.882801320042,826.604939505229,908.657122966421,859.361748528469,1191.05242255357,958.955020853256,1112.25091009237,959.955699943337,1112.6595,1112.6595,868.541549586776,-1
2015,-1,156.85,208.597860868849,159.649846683039,238.217535077669,336.143945815915,457.192660121778,520.414833647392,580.279322373356,635.296130940923,714.057098341644,794.618429398023,799.469932470177,742.68392482862,915.994371527513,857.735569677538,1051.20953546201,1010.98101429848,1049.85831728609,1029.97531012002,1040.4853025539,973.527375852296,1097.82385545245,1040.4853025539,1061.33138506492,1137.04872010232
2016,-1,-1,207.646720647773,221.73573334304,252.440903983531,290.361050581569,490.213810419424,515.378867028251,512.491719697394,620.180140568222,653.877806406659,689.087603522382,678.181450774415,853.273714291724,779.296630852128,985.640910185247,869.402098702439,873.336993662113,669.804057682518,1086.63653612028,870.801736860356,1364.93703703704,1105.58680555555,1105.58680555555,-1,-1
2017,-1,-1,270,345.389629955947,362.668505570069,365.93691912427,429.431528388675,511.894286781906,548.252560317577,583.530244886308,620.932675869439,718.109217170484,788.522219640466,821.211614055914,920.061202389127,861.349495897534,964.338718194981,960.37413435495,1202.38825184543,1018.74292147425,1115.60104234189,1271.14293310344,1281.22038494459,1310.7647755858,976.774726238052,-1
2018,-1,-1,270,279.040387296669,299.818919244984,343.403116528539,407.835367558051,485.912134422167,579.727752962583,662.800837283592,603.697365611138,691.766906500892,816.626332746887,793.707381062143,951.874552413393,980.722306875492,981.659305218643,981.811391430386,1095.98050691339,1108.27013596451,1108.30287878788,880.635506017539,1192.68335680248,-1,-1,-1
2019,-1,-1,-1,-1,482.625806844249,450.882418622747,469.316763722372,520.278624466634,563.980347772615,552.427777557495,618.457483654518,615.643736563542,659.479098975665,876.059566137566,761.569997332033,764.484797102645,914.807658703072,914.807658703072,1337.028,1323.39382716049,-1,1152.96666666667,-1,-1,-1,-1
