"Year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,548.72,548.72,587.241451612903,646.202857142857,605.585,868.649204545454,881.778902439024,-1,-1,1032.87005555556,1202.99204545455,886.593125,-1,1149.8916,-1,-1,-1,-1,1383.79142857143,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,507.27,601.789671196844,648.646636065574,808.340365139949,849.872694736842,895.651296043657,887.519345549739,-1,1370.68529288703,1155.907875,1232.23837837838,-1,1177.80743902439,-1,1155.907875,-1,1155.907875,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,1159.42333333333,948.516,948.516,948.516,1091.48832113226,1035.4706708222,1122.64931840697,1253.48833099042,1143.94647765177,1341.03326619752,1349.00619047619,1151.39015927978,1325.30833333333,-1,1159.42333333333,1159.42333333333,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,948.516,948.516,948.516,990.097513018093,1001.49892583708,1069.51751796452,1078.65435517173,1171.34733749994,1126.89332518775,1274.7656882857,1257.01379396722,1153.4120060288,1403.56150238083,1340.68585600478,1129.22037647059,-1
