"Year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,331.078920466073,1110.33196365096,1416.97361342434,658.521428267908,813.561473383802,325.253194194954,53.2048543725955,81.0990502019291,34.0899886663657,77.6384196843312,56.7506541095995,34.0899886663657,9.45844235159991,0,0,18.9168847031998,9.45844235159991,0,0,0,0,0,0
1996,2.16265403285891,0,0,49.683426983086,136.322071608559,200.468270582522,107.158415536097,163.410646778072,145.969589084519,95.3876347296631,269.143756999711,162.069916359397,274.58738661528,281.551063204192,162.069916359397,73.8939297900506,203.933335782407,75.903227321952,147.787859580101,73.8939297900506,75.903227321952,0,0,0,0,0
1997,0,0,0,0.615712330316988,35.7374370049575,131.008623580956,157.161134300961,301.672560871621,343.421337834284,174.592824268606,306.337690864089,180.837916884818,349.084964494666,337.968491880995,180.837916884818,97.680496772257,199.121879807088,50.5403902472643,195.360993544514,97.680496772257,50.5403902472643,0,0,0,0,0
1998,0,0.174380127752742,0.435950319381856,3.03826185157682,13.6351705123181,54.6524675960191,87.9263687829601,44.4445802898201,196.766000909805,0,179.228354377553,0,89.6141771887763,295.917853936576,1350.7737911773,206.3036767478,0,0,0,560.758415665377,0,64.6479120250094,0,0,0,0
1999,0,0,0,0.448656601899044,13.167596949027,90.9101682069028,249.811350482694,526.529321729833,644.72242729879,306.941264916877,795.308444047273,432.29117492098,704.16089265814,932.716158580057,432.29117492098,411.128235530942,1001.26108724772,220.615868161369,822.256471061883,411.128235530942,220.615868161369,0,0,0,0,0
2000,1.04836262807218,0,0,89.8382955330899,312.806333052466,823.397519704586,1421.02788999427,2794.8579115537,2999.031987046,1078.15128051388,1497.94427836694,643.402617322477,1217.33484853634,974.418716492368,643.402617322477,259.827755810312,527.046150059535,176.990481870858,519.655511620623,259.827755810312,176.990481870858,0,0,0,0,0
2001,12.8803276681009,0.928854927160645,0,523.898320090743,1097.08474784027,1209.17433570581,1798.71588740692,1507.34483853009,2024.70988068007,1197.25358515437,869.606626362285,2411.04062830205,296.22444847614,888.673345428419,296.22444847614,296.22444847614,81.9117396980208,1420.21662193025,2001.48192981195,0,129.137790339535,0,0,0,0,0
2002,61.9908021167032,7.12903365684825,0,423.167429945015,818.108315110004,1044.94538862244,1558.15897394466,1333.25004031552,1800.745944125,1078.95461393918,782.419643879007,1958.84632311585,263.483446273707,790.45033882112,263.483446273707,263.483446273707,74.1337425150429,765.813681967987,1588.17761054063,0,128.715802978176,0,0,0,0,0
2003,2.40233153773567,0,0,299.535614164009,612.881031717816,940.916612266212,1465.86592518275,1282.77428329427,1645.71928945991,958.932118593907,668.505233916251,1325.6790275894,160.258185730354,480.774557191063,160.258185730354,160.258185730354,72.6067211694139,807.723496695573,962.645421742335,0,34.1938213596665,0,0,0,0,0
2004,12.4568055179447,0,0,317.400600928429,718.807030699387,1122.65990934491,2069.91950669166,2115.63925033701,3125.86014567113,2272.53030947667,1607.29397090972,3284.82866106501,443.130378417546,1329.39113525264,443.130378417546,443.130378417546,166.309084641739,2808.82712731041,2453.28323785631,0,61.7351343510158,0,0,0,0,0
2005,0,0.0515694017393796,17.4593557793751,104.713760097472,723.605417825286,1326.16558756403,1423.80297245381,2299.92520130338,3228.54503251361,3074.06530631531,2207.93394525531,1728.13162746426,1686.52932491653,1331.06127771639,775.029645127244,667.486901733623,1004.29819222584,1258.05961696469,995.215302093865,579.584569309314,1281.48399381225,955.309959810345,559.944158340001,260.331668200688,0,149.806245069657
2006,0,0,0,25.1054124358716,162.070311256658,1345.88694781568,2044.35295583475,2627.10955964572,3508.24078992327,2206.31256895829,2080.0285303318,1589.19808933754,1997.10274390185,617.36094448744,1639.52849439018,623.659766632831,946.293306905092,352.746726462922,309.648024816038,154.824012408019,240.799853979248,98.9613570274515,0,0,0,0
2007,0.401418918589709,10.9084487043399,33.6148331917954,98.7479109051249,641.468461112126,1148.62027752932,2366.40393331804,2148.21472485893,2426.5407337098,2311.76573697639,2633.60870646992,1750.50861826715,888.769646703048,558.040322232858,579.272660849259,535.857616309647,324.218316708994,381.923050761567,680.392439441443,821.138936355733,306.964099418475,420.234143956832,356.174122732449,270.167832093175,0,180.507292017147
2008,0,0,31.3781476500742,94.5251338485612,762.589969426348,3140.47866372668,2738.08591825153,4482.9628344313,3812.01795486953,2899.7580624561,3072.26409131155,2117.31630758974,934.94424109006,1059.32718509495,439.105454694036,577.402008689113,554.783573108796,625.371832508186,777.426955892687,377.067507162167,152.826240371625,495.52797938154,76.4131201858127,0,243.306231579122,0
2009,0,0.364008600645811,0,56.3356372322828,216.48724009191,1598.76031548049,4143.16522006194,4245.8107628986,6594.53927930091,6525.13922857402,5232.257369527,6097.29156939875,4554.4917053436,2963.90985083646,1337.25120336277,714.50882895388,290.718537784726,157.646784400298,1120.99438341439,392.962334057294,1369.99530937828,223.527114255608,0,224.263739044346,0,0
2010,0,0.928285182334437,13.270737421121,55.220751003543,438.773419111847,868.72914797016,1147.96778931128,2631.21856062679,2717.03679842905,3764.41438406777,3424.30042486123,2789.62651884428,2015.19050133276,1768.70416549787,1590.98798115047,745.120921599292,732.41331179391,345.179762969846,500.19531246212,309.154495512693,175.929427189083,0,224.662304451618,0,73.7299273060504,0
2011,0,0,0,0,1.58223763939737,27.5234198071686,83.6851514628068,219.461040756188,367.410912600409,240.291822627647,383.988620775715,485.198048440808,371.295899693978,430.160607776004,447.242802835636,267.66163754339,578.60785438116,72.8937049344647,194.767932608925,145.787409868929,0,139.33862723073,0,6.87858266345922,0,0
2012,0,0.678554010477795,3.24903631968713,50.604376394577,253.288609173376,1244.76718699631,2825.28408797675,2271.36893217118,3645.35031200457,2806.78616031955,3397.88180554474,2677.19291101191,1937.13516466322,1492.81803386634,1425.55701495154,975.106394036372,1686.13943646118,1205.1902800601,281.648364505841,265.813689908937,526.668371529794,752.159722278954,243.173016185008,132.906844954469,74.370759775686,0
2013,0.0882126260305144,14.23990546836,74.7548780555882,86.7477681325657,612.521845312898,1006.27361684187,2077.71256222467,2639.16975502594,2392.47469016573,3056.28275194617,1889.18553493833,2336.54324337995,1927.1085285108,1225.29783150631,1601.436920786,1019.32828484147,1034.24578987895,398.529839125776,430.311266201258,715.893599503705,302.379648104374,144.479805460381,221.865651692435,0,0,0
